"UF;CIDADE;UNIDADE;ENDEREÇO;URL"
"RN;PARNAMIRIM;ABEL CABRAL;AV. ABEL CABRAL, S/N - NOVA PARNAMIRIM;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/290/SITE/LANDING-PAGE/CHECKOUT/15596/0"
"CE;FORTALEZA;JAIME BENÉVOLO; JAIME BENÉVOLO, 1.188, 1.190 E 1.200 - JOSÉ BONIFÁCIO,;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/289/SITE/LANDING-PAGE/CHECKOUT/15595/0"
"RN;NATAL;TIROL;AV HERMES DA FONSECA, 1148 - TIROL;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/277/SITE/LANDING-PAGE/CHECKOUT/15584/0"
"SE;ARACAJU;AUGUSTO FRANCO;AV . AUGUSTO FRANCO 2.500;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/272/SITE/LANDING-PAGE/CHECKOUT/15580/0"
"SP;FRANCA;FRANCA ;AV. DR. ESMAEL ALONSO Y ALONSO, 1789 - CENTRO, FRANCA - SP, BRASIL;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/283/SITE/LANDING-PAGE/CHECKOUT/15589/0"
"CE;FORTALEZA;PÁTIO DOM LUIS;AV. DOM LUIS, 1200, MEIRELES - CEP: 60.160-196, FORTALEZA/CE;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/128/SITE/LANDING-PAGE/CHECKOUT/15508/0"
"AM;MANAUS;N. SRA DAS GRAÇAS/VIEIRALVES;AV. JOÃO VALÉRIO, 708, 1º ANDAR, NOSSA SENHORA DAS GRAÇAS - CEP: 69.053-140, MANAUS/AM;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/121/SITE/LANDING-PAGE/CHECKOUT/15502/0"
"PA;BELÉM;PARQUE SHOPPING BELÉM;AV. AUGUSTO MONTENEGRO, 4300, PARQUE VERDE - DENTRO DO PARQUE SHOPPING BELÉM - CEP: 66.635-100, BELÉM/PA;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/134/SITE/LANDING-PAGE/CHECKOUT/15514/0"
"SP;RIO CLARO;RIO CLARO; AV. CONDE FRANCISCO MATARAZZO JÚNIOR, 205, VILA PAULISTA - CEP: 13.506-845, RIO CLARO/SP;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/137/SITE/LANDING-PAGE/CHECKOUT/15516/0"
"PA;MARABÁ;SHOPPING PATIO MARABÁ;ROD. TRANSAMAZÔNICA, FOLHA 30, QUADRA 15, LOTE 10, NOVA MARABÁ - CEP: 68.507-445, MARABÁ/PA |5;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/135/SITE/LANDING-PAGE/CHECKOUT/15515/0"
"PI;TERESINA;BARÃO DE GURGUÉIA;AV. BARÃO DE GURGUÉIA, 3690, TABULETA - CEP: 64019-352, TERESINA/PI;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/297/SITE/LANDING-PAGE/CHECKOUT/16111/0"
"PE;JOABOATÃO ;BERNARDO VIEIRA DE MELO;AV. BERNARDO VIEIRA DE MELO, 941, PIEDADE - CEP: 54410-010, JABOATÃO DOS GUARARAPES/PE;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/278/SITE/LANDING-PAGE/CHECKOUT/15585/0"
"MA;SÃO LUÍS;MAIOBÃO;ESTRADA DO RIBAMAR, 26 MAIOBÃO - CEP: 65130-000, PAÇO DO LUMIAR/MA;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/295/SITE/LANDING-PAGE/CHECKOUT/15601/0"
"PE;RECIFE;NOVA DESCOBERTA;AV. VEREADOR OTACÍLIO AZEVEDO, 2146 - BREJO DE BEBERIBE - CEP: 52081-550, RECIFE/PE;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/302/SITE/LANDING-PAGE/CHECKOUT/17022/0"
"PB;JOÃO PESSOA;SUPERFÁCIL;RUA DIÓGENES CHIANCA, 1443, ÁGUA FRIA - CEP: 58.053-000, JOÃO PESSOA/PB;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/308/SITE/LANDING-PAGE/CHECKOUT/18305/0"
"BA;SALVADOR;PITUBA II;RUA PARAÍBA, 476, PITUBA, ESQUINA COM A RUA AMAZONAS - CEP: 41.830-100, SALVADOR/BA;HTTPS://EVO-TOTEM.W12APP.COM.BR/SELFIT/118/SITE/LANDING-PAGE/CHECKOUT/15499/0"
